first_name,last_name,class,red_shirt,position,group,secondary_group,team,archetype,dev_trait
Elijah,Brown,JR,TRUE,QB,QB,QB,OFF,field_general,impact
Fattimus,John,JR,FALSE,QB,QB,QB,OFF,scrambler,star
Enrique,Thrasher,FR,FALSE,QB,QB,QB,OFF,scrambler,impact
Emmett,Huber,FR,FALSE,QB,QB,QB,OFF,improviser,impact
Cole,Tabb,SR,FALSE,HB,RB,SP,OFF,receiving_back,impact
Champ,Hampton,SR,TRUE,HB,RB,SP,OFF,receiving_back,impact
Nick,Cornell,FR,FALSE,HB,RB,SP,OFF,elusive_back,impact
Alfonso,Orlando,SO,TRUE,HB,RB,SP,OFF,elusive_back,normal
Keilan,Coats,FR,TRUE,HB,RB,SP,OFF,elusive_back,impact
Levi,Gay,FR,FALSE,HB,RB,SP,OFF,elusive_back,star
Raysean,Plummer,FR,FALSE,HB,RB,SP,OFF,power_back,impact
Ahmari,Borden,JR,TRUE,WR,WR,SP,OFF,deep_threat,impact
Ismael,Cisse,SR,FALSE,WR,WR,SP,OFF,deep_threat,normal
Jackson,Harris,SR,FALSE,WR,WR,SP,OFF,deep_threat,impact
Chase,Farrell,JR,TRUE,WR,WR,SP,OFF,deep_threat,impact
Tevan,Miles,FR,TRUE,WR,WR,SP,OFF,deep_threat,impact
Delonte,Ivy,FR,FALSE,WR,WR,SP,OFF,route_runner,star
Taylor,Lincoln,FR,FALSE,WR,WR,SP,OFF,route_runner,impact
Vernon,Cross,FR,FALSE,WR,WR,SP,OFF,route_runner,impact
Finau,Lutui,FR,FALSE,WR,WR,SP,OFF,route_runner,star
Big,Big 'Ron,JR,TRUE,TE,TE,SP,OFF,blocking,impact
Benji,Blackburn,JR,TRUE,TE,TE,SP,OFF,blocking,normal
Dominique,Addison,SO,TRUE,TE,TE,SP,OFF,vertical_threat,impact
Stephen,Ramey,FR,TRUE,TE,TE,SP,OFF,vertical_threat,star
Hayden,Gunter,JR,TRUE,LT,OT,OL,OFF,pass_protector,impact
Ben,Laporta,SO,TRUE,LT,OT,OL,OFF,power,star
Darrion,Turbin,FR,FALSE,LT,OT,OL,OFF,power,impact
Sherard,Zimmons,SO,TRUE,LG,OG,OL,OFF,power,impact
Alani,De Beer,FR,TRUE,LG,OG,OL,OFF,power,star
Dion,Figurs,FR,FALSE,LG,OG,OL,OFF,agile,star
Simione,Pale,SR,TRUE,C,C,OL,OFF,agile,impact
Kona,Dukes,FR,FALSE,C,C,OL,OFF,agile,star
Kevin,Shoemaker,FR,TRUE,C,C,OL,OFF,agile,star
Alani,Satele,SO,TRUE,RG,OG,OL,OFF,power,impact
Eric,Radunz,SO,TRUE,RG,OG,OL,OFF,power,elite
Dell,De Beer,FR,FALSE,RG,OG,OL,OFF,agile,star
Fredrick,Hixon,FR,TRUE,RT,OT,OL,OFF,power,star
Daron,Addison,FR,TRUE,RT,OT,OL,OFF,agile,normal
Caleb,Gentry,FR,FALSE,RT,OT,OL,OFF,power,elite
Parker,Brake,JR,FALSE,LE,DE,DL,DEF,power_rusher,normal
Troy,Dickerson,SO,FALSE,LE,DE,DL,DEF,power_rusher,elite
Moses,Addison,SO,TRUE,LE,DE,DL,DEF,speed_rusher,impact
Matt,Redman,FR,FALSE,LE,DE,DL,DEF,run_stopper,star
Benedict,Umeh,SR,FALSE,RE,DE,DL,DEF,speed_rusher,impact
Jacobi,Murray,JR,TRUE,RE,DE,DL,DEF,power_rusher,impact
George,Samuel,SO,TRUE,RE,DE,DL,DEF,power_rusher,impact
Ahmad,Webber,SO,TRUE,RE,DE,DL,DEF,power_rusher,normal
Luis,Castro,FR,FALSE,RE,DE,DL,DEF,run_stopper,elite
Joe,Asiain,JR,TRUE,DT,DT,DL,DEF,power_rusher,impact
Darren,Bourne,SO,FALSE,DT,DT,DL,DEF,run_stopper,impact
Marquise,Stubbs,SO,FALSE,DT,DT,DL,DEF,run_stopper,impact
Richard,Redfield,FR,TRUE,DT,DT,DL,DEF,run_stopper,impact
Bruce,Sturm,FR,FALSE,DT,DT,DL,DEF,run_stopper,impact
Mike,Beach,FR,FALSE,DT,DT,DL,DEF,run_stopper,impact
Emanuel,Galindo,SO,FALSE,LOLB,OLB,LB,DEF,power_rusher,star
Alex,Price,FR,TRUE,LOLB,OLB,LB,DEF,speed_rusher,impact
Marquez,Thomas,FR,FALSE,LOLB,OLB,LB,DEF,run_stopper,impact
Najee,Hyman,FR,FALSE,LOLB,OLB,LB,DEF,pass_coverage,normal
Sam,Mattingly,JR,TRUE,MLB,MLB,LB,DEF,field_general,impact
Maxwell,Richardson,JR,TRUE,MLB,MLB,LB,DEF,field_general,impact
Patrick,Angel,FR,FALSE,MLB,MLB,LB,DEF,pass_coverage,normal
Dylan,Stephenson,JR,TRUE,ROLB,OLB,LB,DEF,speed_rusher,impact
Evan,Lampman,SO,FALSE,ROLB,OLB,LB,DEF,power_rusher,star
Benjamin,Ferrell,FR,TRUE,ROLB,OLB,LB,DEF,run_stopper,impact
Brian,Eagles,FR,TRUE,ROLB,OLB,LB,DEF,run_stopper,star
Javion,Randall,JR,TRUE,CB,CB,DB,DEF,slot,normal
Brandon,Nicholson,JR,TRUE,CB,CB,DB,DEF,man_to_man,impact
Aaron,Morris,SR,TRUE,CB,CB,DB,DEF,slot,normal
Al,LeBeau,FR,FALSE,CB,CB,DB,DEF,man_to_man,impact
Pat,Harris,FR,FALSE,CB,CB,DB,DEF,man_to_man,impact
Daquan,Draper,FR,FALSE,CB,CB,DB,DEF,slot,star
Frank,Addae,FR,FALSE,CB,CB,DB,DEF,man_to_man,normal
Keshawn,Lawrence,FR,FALSE,CB,CB,DB,DEF,slot,normal
Che,Ojarikre,SR,TRUE,FS,S,DB,DEF,zone,impact
Cam,Richardson,JR,TRUE,FS,S,DB,DEF,zone,normal
Mychal,Mayweather,FR,FALSE,FS,S,DB,DEF,hybrid,star
Greg,Pepper,FR,FALSE,FS,S,DB,DEF,hybrid,impact
Buck,Robert,FR,FALSE,FS,S,DB,DEF,hybrid,impact
Darrius,Davis,SR,FALSE,SS,S,DB,DEF,run_support,impact
Ian,Ngakoue,SO,TRUE,SS,S,DB,DEF,run_support,elite
George,Dayes,JR,FALSE,SS,S,DB,DEF,zone,impact
Greg,Childers,FR,TRUE,SS,S,DB,DEF,zone,impact
AJ,Seidler,JR,TRUE,K,K,K,ST,accurate,normal
Randall,Fiore,FR,TRUE,K,K,K,ST,power,impact
Stanley,Spears,FR,FALSE,P,K,K,ST,power,star
